城市,链接,岗位,工资,公司规模,公司类型,hr活跃表现
广州,https://www.zhipin.com/job_detail/a893fea8deeed7f41Xxz0t-4GFpX.html?lid=1ZCNdukdgpJ.search.1&securityId=8EZcyo3jlzXev-I1vvPT15E892oWZJEDNvpXhVRZ7YAbSDuwsbN413g9QD5UfJLgk8DPCxJG3Mbp63pAHJsoG_qPKKMD79fpEwQHPb9vUH_0gjuGQA~~&sessionId=,数据分析师 Business reporting analyst,10-14K,已上市,,3日内活跃
广州,https://www.zhipin.com/job_detail/3b19788dc10f46231Hx62dq-FldR.html?lid=1ZCNdukdgpJ.search.2&securityId=m31Hxy7AFlvyj-41epbXhYmGxN0HD3nEd3FUEnxbcoDrPU0TIVBHpfoCwYIVLTfAw9S2lly64GYrKtoW36fBqpE9XOrnMaCLi-Yt1MlhOuLXjSN1Lg~~&sessionId=,数据分析师,13-18K,不需要融资,,本周活跃
广州,https://www.zhipin.com/job_detail/df5e2af0963e9e5b1n163d29EVtT.html?lid=1ZCNdukdgpJ.search.3&securityId=Cg7LmVcded05o--1OkbAbdQIqK5SVBs4jnX6NLNyNBhEUQpRm9fITmbEJxZEYr_f_VFvfI9dfYGNKoInJ7qHN_misYfqW3Fd923bN7ngHVGBW1jm4Q~~&sessionId=,数据分析师,6-11K,未融资,,本周活跃
广州,https://www.zhipin.com/job_detail/c8c0ca7694fa3e011nx93925FVFR.html?lid=1ZCNdukdgpJ.search.4&securityId=u79GP9Zhk0d06-q1e6CYvRqeXU99Mvhp8sVYUDIqaA2uAtBxahgfBN7KlJ8iR7MjlX2geUbX--GGKCIhTP5WRZTmgNvZ9TY1YPtentErcbO8TWBgxg~~&sessionId=,数据分析师,11-20K,B轮,,半年前活跃
广州,https://www.zhipin.com/job_detail/f025853f9e8908a71HN_2ty1ElpS.html?lid=1ZCNdukdgpJ.search.5&securityId=3tRpPhq6bgt8I-e1csJ3poE58zwdwfwPb6xmuplA__X82H9y3_Ofkr5FoySb716i5Hnhi56D-aHZ2fv6SCPxvHUrJf2aprXWo5CGF7FMYJStkczh8OU0_N-FOuOJXwsQAuA68uVivGZFkpjnDAGSFb0~&sessionId=,数据分析师,15-21K,未融资,,刚刚活跃
广州,https://www.zhipin.com/job_detail/011b6aa6224d22991n143d27E1VT.html?lid=1ZCNdukdgpJ.search.6&securityId=qZPCaBsMIrDeJ-_1u85ffOzCH6_PLtqfayQ7JK51ROpnoXHC1awFkDnMDllxsXA8gV3VRC1ctEjCsBeDVRnn_6JWaE96_q9cEqQ1e55EcXsIygAE&sessionId=,数据分析师,11-20K,已上市,,今日活跃
广州,https://www.zhipin.com/job_detail/342cc291f88b026e1Xdy0t24EVtS.html?lid=1ZCNdukdgpJ.search.7&securityId=DvnKDVSnBPNm3-U14UHpSGjD7TBiGn7El9T_QG9Cl_sLuk0HGEp2HVlZHHDeTV5r9qIwknnHUNS_ra1Zqwt9NBel7BDqHh-bWQZ6NPJTEN17sW2WYg~~&sessionId=,数据分析师,10-15K,未融资,,3月内活跃
广州,https://www.zhipin.com/job_detail/577e450b4d36fe8d1HF53t-1F1VU.html?lid=1ZCNdukdgpJ.search.8&securityId=ypTjinV8T0JHg-W10EuZp82n85YmLJg_LNccwKN4l79KRGGes-Zi3MV0YAh836iqvwf5O7XwdgSrcgvIIloFzmUYMP_p1Anf8evouGP-gNyPwCNLV7Q~&sessionId=,数据分析师,8-12K,未融资,,刚刚活跃
广州,https://www.zhipin.com/job_detail/c75e628e36d986e71nF639y1EFBW.html?lid=1ZCNdukdgpJ.search.9&securityId=DjSnlw8Doh1If-G1QbJpPXG45kNOwdQBxMLKAhT7VzL-oaV54jOklElykg1XD9DoSbp12nqJjTa2zcj53LcyJpAK4EY9J43pgGO9kMR3YgL0PLTRGQ~~&sessionId=,数据分析师,8-12K,未融资,,半年前活跃
广州,https://www.zhipin.com/job_detail/0071265c993410941HZ93tu5EFRY.html?lid=1ZCNdukdgpJ.search.10&securityId=msuLdxVfBogmu-D1F13_SFEa-ZQiM4FjlmWI6R-yDSIfxQZy948tnQpaxwj57aehoogo4fpCs98s9J7Awp1GIRqB-9Zbnr-dk7UzfFZkTd2NcqkU&sessionId=,数据分析师,15-25K,已上市,,2周内活跃
