mid,sex,vip
273138399,保密,0
631484717,保密,0
439800248,男,0
87061987,保密,1
377072076,保密,1
228750017,女,1
308940974,女,0
316754851,保密,0
171349081,女,0
631105993,保密,0
62845557,保密,0
500730326,女,0
62604885,女,1
1531950090,保密,1
438599910,保密,1
663040215,保密,0
13198603,保密,1
3269654,保密,0
477027222,女,1
679620437,女,0
85871695,男,1
479141058,保密,1
21361485,男,1
397703722,女,1
357607924,保密,0
390081554,保密,1
485628039,女,1
696727869,女,1
375248717,保密,1
16563834,保密,0
313597536,保密,0
1211553841,保密,0
178990241,男,1
471418387,保密,1
522814543,男,0
1693934788,保密,0
29968425,保密,1
1613750,男,1
333864481,女,0
314879622,女,1
1728988247,女,0
79880534,保密,0
15453839,女,1
145628404,保密,0
504578047,女,0
67963742,保密,1
346189570,女,0
30555680,男,1
1219588694,女,0
497444343,女,1
33499874,女,1
388237402,女,1
455220754,女,1
1901592512,女,0
367892120,保密,1
483707907,保密,0
169240405,女,1
1934211955,女,0
441394289,保密,1
1413569063,保密,0
479345831,女,1
6491777,男,1
1401009155,女,0
1208557418,保密,0
11713518,女,0
159940121,男,1
24564377,男,1
631078146,保密,0
282795886,女,0
506678525,保密,0
553329730,保密,0
445307181,保密,0
327532375,女,0
315484190,女,1
475008923,保密,0
243994293,女,0
1497693937,保密,1
2143674629,女,0
397061674,保密,0
543325057,保密,0
108886951,女,0
700635973,男,0
472394414,保密,1
652234756,保密,0
356558509,女,0
1244118590,女,0
327279954,女,0
1136419491,男,0
386852244,男,1
306180999,保密,0
510927395,保密,0
8610781,保密,0
180499652,女,0
2044117727,女,0
5776673,保密,1
493703737,保密,1
312760961,男,0
390675734,保密,1
174957608,保密,0
97088238,男,0
301792280,女,0
406271488,保密,0
20622165,保密,1
518229406,女,1
105763048,保密,1
261119759,保密,1
1485474209,保密,1
346098643,保密,0
491513402,保密,0
524980499,女,0
1847829661,保密,0
21958027,保密,1
358551824,女,0
11738032,女,1
674048233,保密,1
412800052,保密,0
1088614441,保密,0
1618117000,女,0
1804513500,保密,1
642117970,保密,0
695393829,保密,0
34922124,男,0
629119668,保密,0
107821339,保密,0
57203201,男,0
523762701,保密,0
1312332172,女,0
471618036,保密,0
1265946937,保密,0
336232886,保密,1
350708112,女,1
515734168,女,0
385924193,保密,1
1022180934,保密,0
673357718,保密,0
403653313,男,1
503266261,保密,0
1482650016,保密,0
269151208,女,1
269057730,女,0
2020956722,保密,1
65977793,女,0
352751214,女,0
646013357,保密,0
1080775198,保密,0
407779119,男,0
32051692,保密,0
26141371,保密,0
87412365,男,1
148974160,保密,1
631099442,保密,0
21194684,男,0
1798029,女,1
1655817715,保密,0
94047529,保密,0
1229319304,女,1
33832420,女,0
1419160469,保密,0
452319658,女,0
17952150,男,0
471289601,保密,1
16466145,男,0
146777721,男,1
595553939,女,0
2095148575,男,1
696606348,女,1
630155651,保密,1
501567641,女,0
43752041,保密,0
550692573,保密,0
396326897,男,0
122951752,保密,1
1299708430,保密,0
1280991205,保密,0
349281942,女,0
63535003,女,0
1500137939,保密,0
360262432,男,0
377699796,男,0
1480257547,保密,0
380751346,保密,1
398699155,女,0
306210590,女,0
1789449526,保密,0
430097370,保密,0
1218853476,保密,0
99049459,女,1
558320644,女,1
381652887,保密,1
613473394,女,0
