,word,tfidf
3984,开发,200.09261929949795
5216,熟悉,135.27145890376923
3787,工作,114.2261623231471
5450,相关,111.434971222034
6388,负责,107.58775338765517
4243,技术,99.40812701939036
3878,平台,98.05820014155108
2555,优先,83.75970342326757
6924,项目,81.62878692541663
2484,产品,79.74878292336395
2275,业务,78.81763867996779
6276,设计,77.27706556273294
839,hadoop,76.08348486693104
2904,分析,75.26089626453523
1830,spark,70.20610898435078
4570,数库,68.27124193544616
4554,数分析,67.86205756603447
2843,具备,65.9411056044647
4551,数仓库,61.667784883977006
6893,需求,61.254667098097485
5719,系统,60.83227163139424
1007,java,60.686152137079596
3820,工程师,60.163691229304554
6624,进行,57.283966396939306
3366,团队,56.00806936654373
1865,sql,55.06972744816484
2559,优化,54.789675283417104
3588,学习,54.725762595682504
2885,分享,53.48049723113342
613,etl,52.872266349495455
4058,微信,52.34221559660232
881,hive,52.098982726385124
5712,精通,52.05553024852118
5678,算法,51.41392165351611
2798,公司,50.86673807955849
4991,沟通,50.636353796186576
5219,熟练,50.21712177713123
2243,专业,48.660235139453675
1606,python,47.93713254388676
4816,架构,46.52351632191332
3631,完成,45.95776940494293
2830,关键字,45.94166154435326
3968,建模,45.51963281739128
3977,建设,44.833750445459664
861,hbase,43.43683589443399
4558,数处理,42.651476319722384
4858,框架,42.54920264786517
4578,数挖掘,42.250738776056664
3803,工具,42.22185783996309
5220,熟练掌握,41.38339280099548
707,flink,41.06737930119453
6225,计算,39.98478307731591
6329,语言,39.64665160733493
3772,岗位职责,39.198011212235784
4373,掌握,38.522965304602906
6229,计算机,38.222145736148114
5844,维护,37.62997710387298
5852,编写,37.373455283477135
6816,问题,37.274104346532795
3466,处理,37.20889710636879
3666,实时,36.66578472715588
5785,组件,36.61150197813256
4889,模型,36.59422933589984
5500,研发,36.33559264648239
1063,kafka,36.26096472689504
1306,mysql,35.4470189865817
3663,实施,35.20582484409792
1138,linux,34.53659743681495
6108,行业,34.29124241952631
3670,实现,33.5151182587122
1413,oracle,32.05238289832517
2382,主流,31.964377617297323
3572,存储,31.914054114875952
6597,运维,31.664461466007104
3770,岗位,31.609225681075404
4627,文档,31.525132619713474
4457,搭建,31.19230161272931
3064,包括,31.005680389187745
6356,调优,30.926604060983117
3442,基础,30.355270092777253
6545,软件,30.278205408144135
5862,编程,30.270769888171067
4819,架构设计,29.745981138572407
206,bi,29.638942346278775
4435,提供,29.33792924970942
5035,流程,29.28860989052671
1736,scala,29.24014438987749
5323,理解,29.044301916709912
3156,原理,28.98631317046929
3691,客户,28.954873310396223
