name,time,f,content,transmit,comment,praise,spiderTime
澎湃新闻,04月08日 22:40,微博视频号,【英国首相：若出现更强毒株，不排除再次封城的可能性】,77,110,245,2022-04-09
广东新闻联播,04月08日 17:09,微博视频号,【广州：甄别相关重点场所108个，涉9个区】4月8日，广州市召开疫情防控新闻发布会。据通报，截至今日12时，全市在管密接3747人、次密接3770人；重点人群5967人，全部赋“黄码”发送提醒短信，实行“七天三检”。,746,1969,33881,2022-04-09
央视网,今天09:01,微博视频号,【,40,252,597,2022-04-09
沪语说唱Mrweezy,2秒前,iPhone 11 Pro,上海一学生因疫情无家可归已经流落街头9天,转发,评论,赞,2022-04-09
Harry超越梦想,2秒前,iPad客户端,预测一下，这波上海、吉林及全国疫情平息之后，只要政策不变，接下去的防疫措施应该会越来越严，成本也会越来越大。主要原因有二：1、病毒传播能力太强了。就算再怎么控制境外输入，不太可能百分百不发生本土，且地区性爆发本土疫情的频率，周期和规模肯定是要高于2021年。2、上海这事出了之后，基本意 ​,转发,评论,赞,2022-04-09
美杜莎麻麻,4秒前,nova8 我由我掌镜,橙色是这波疫情前最后一次去花鸟市场买的月季，还有很多花苞，还能使劲开一段时间。,转发,评论,赞,2022-04-09
上海黄浦,6秒前,上海融媒体平台,【从机关到“疫”线，这支党员突击队好样的！】,转发,评论,赞,2022-04-09
中新社吉林分社,8秒前,微博视频号,【,转发,评论,赞,2022-04-09
,,,,,,,2022-04-09
睡在云朵上的晓晓,9秒前,vivo手机,昨天下午给同小区的一个亲戚打电话 他说自己一个人在家 没有储备物资 家里只有两个莴笋 我说 有志愿者帮忙买菜 他说 过几天或许就能让大家出去买菜 他准备先凑合一下 我说 这一次比武汉封控的还严格 不封个两星期 没有新增 我们能出来? 如果疫情再严重些 还不知道要封到什么时候 我们要做好最坏打算 我 ​,转发,评论,赞,2022-04-09
小只糯米球,10秒前,微博视频号,#黄渤梅婷新剧剧组致歉#,转发,评论,赞,2022-04-09
那么等风来吧,10秒前,iPhone 11,上海你这次真是太糟糕了，楼里一周已经连续出现三户感染了，一共一共十八户，到现在阳性的连窗子也不关，楼里大多都是上了年纪的叔叔阿姨，除了我们要跑上跑下拿物资外，到现在三四天了核酸也没做过，就做了抗原，你是要让我们都感染吗？,转发,评论,赞,2022-04-09
环保三亚,11秒前,微博 weibo.com,发布了头条文章：《日产量约16.6吨！三亚如何处置涉疫医疗废物？》,转发,评论,赞,2022-04-09
太极拳学,15秒前,Redmi K20,#广州 疫情#,转发,评论,赞,2022-04-09
哈尔滨经济广播电台,16秒前,iPhone客户端,哈尔滨4月8日0-24时疫情通报,转发,评论,1,2022-04-09
夏天橙,16秒前,iPhone客户端,从2/15日元宵节集中隔离14+7，酒店隔离日子过得很快。隔离解封后去了办公室一天回来，得知小区封控。连续隔离和在家快二个月了。苏州疫情完了又上海疫情。清明假期就在小区外江边看看放了两天风筝，莫名竟然变成了踏青的景点，浪了两天小区又封闭了。在家9116办公日子，每天小区做核酸就是下楼看看春光 ​,转发,评论,赞,2022-04-09
南方周末,20秒前 转赞人数超过60,微博视频号,【制造业人才需求缺口大,13,24,58,2022-04-09
中国新闻网,17秒前,微博 weibo.com,【,转发,评论,1,2022-04-09
大餠餠是龍龍,17秒前,iPhone客户端,这届疫情防控的领导班子都下来吧！！！别舍不得你这顶乌纱帽，做不好就换人！自己去基层社区多走走多看看，阳性患者要过几天才能转运，政府物资发放管理混乱，物资短缺老百姓天天要手机上网抢菜自救日子过得苦不堪言，就问你们这次疫情防控工作做得是什么玩意？,转发,评论,赞,2022-04-09
连如今,17秒前,,尸位素餐的不仅仅是他们，无论是疫情还是战争我都会难受，因为很多问题根源是人性的恶，没发生在我们身边是运气好而已。,转发,评论,赞,2022-04-09
