豪华车售后信息服务工程师（英语）,6-11k,苏州,5-10年,本科及以上,职位描述招聘职位：汽车配件销售岗位职责：1.负责SCANIA-HIGER FRAS系统的质量信息反馈与跟踪1.1负责跟踪与反馈斯堪尼亚FRAS系统中SCANIA-HIGER豪华车的质量信息1.2协调相关部门对FRAS系统中的质量问题进行处理与答复2.针对斯堪尼亚Global Help Desk的有关技术，或者备件代码的问题，联系技术，海外客户服务部等相关部门做出相应的回复3.负责SCANIA-HIGER e-Quality系统的问题反馈与处理3.1对于斯堪尼亚e-Quality系统的有关备件质量问题，进行及时的反馈与处理；在e-Quality系统里对每个问题的短期解决措施，原因分析，长期解决措施等进行及时回复3.2配合售后服务团队做好有质量问题备件的索赔工作4.对技术部门发布的有关统领车的技术更改单，及时进行翻译并发送给斯堪尼亚有关人员5.对斯堪尼亚方面提出有关ECO的技术问题，与技术部门进行沟通以解决斯堪尼亚方面的问题6.完成上级交办的其他工作岗位要求：1.本科学历，汽车等相关专业2.2年以上相关工作经验3.熟悉客车产品结构，熟悉生产和质量管理工作4.熟练的英语听说读写能力5.良好的外语能力、组织协调工作能力；工作积极热情，责任心强，良好的团队合作精神
DevOps系统运维工程师,10-15k,南通-崇川区,3-5年,本科及以上,"JOB ROLE SUMMARYDevOps Engineer ensure the stability, integrity, and efficient operation of Cloud Platform environment and K8S environment that support core organizational functions and customers. This is achieved by monitoring, maintaining, supporting, and optimizing all network/Windows server/facility/Dockers systems assigned. The DevOps Engineer will apply proven communication, analytical, and problem-solving skills to help identify, communicate, and resolve issues in order to maximize the benefit of IT systems.DUTIES AND RESPONSIBILITIESManage CD/CI environment including K8S/Harbor/Rancher/Jenkins/Git/HelmDesign and implement solution Infra related service in cloud service (Azure/AWS/Alicloud ) with Performance and security enhancementWORKLOADCloudPlatform          30%K8S                           30%CD/CI Develop         40%QUALIFICATIONSRequired  Typically requires a minimum of 5 years of related experience with a Bachelor's degree; or 3 years and a Master's degree;knowledge of Cloud Platform Infrastructureknowledge of CD/CI and all its componentsSolid On hands experience on Linux PlatformSolid On hands experience on AWS/Azure/Ali Cloud solution Design and service deploymentSolid On hands experience on K8S setup/operation/TroubleshootingSolid On hands experience on Python/ShellSolid On hands experience on auto Develop and release process deployment and maintenanceExcellent English communication skillWilling-to-do and Willing-to-learn personalityPlatform Requirements (varies on platform of position):AWS             3+ years hands on administration Azure           3+ years hands on administration Ali Cloud      3+ years hands on administration CD/CI 3+ years hands on administrationPreferredITIL Foundations CertifiedPreferred RequirementsAWS SAP Aliyun ACP Linux RCHETravel %10%-20%"
技术支持工程师,8-10k,南通-崇川区,3-5年,大专及以上,"岗位要求：1.大专及以上学历，计算机相关专业毕业 2.3年以上开发或者运维相关背景，具有一定的系统维护、故障解决经验，熟悉系统trouble shooting相关的技巧3.熟悉Linux，熟练使用常用的Linux 命令，熟悉Linux服务器性能分析4.了解Oracle, MySQL, MSSQL Server等数据库体系结构，熟悉SQL 编程，熟悉存储过程编写5.精通WEB应用程序服务器部署，掌握各中间件的配置方法如：jboss、tomcat6.具有较强的客户沟通能力，思路清晰，善于思考，能独立分析和解决问题，对解决复杂的技术问题有深厚的兴趣7.具备良好的团队工作精神和客户服务意识，有积极主动地发现和解决问题的态度，能够承受较强的工作压力8.有Java开发工作经验者优先，有服务国外客户经验者优先，熟悉CRM/CDP产品优先岗位职责：1.负责CRM/CDP产品技术支持，包括对接客户问题咨询解答，通过电话、邮件、远程技术支持，提供问题分析和排查等解决方案，帮助客户解决问题2.负责公司业务系统的软件配置，维护，监控，调优，故障排除等运维工作3.负责保障服务器与数据库安全4.负责数据监控、应急响应、故障排除5.协助公司研发完成研发测试环境部署和技术协助6.配合第三方厂商人员进行系统建设、系统运维、系统故障处理等协调工作"
数据分析师,5-8k,南通-崇川区,1-3年,本科及以上,工作内容：1. 根据行业特性和电商属性，运用电商和私域大数据开展商业研究和咨询项目; 对接客户需求，对其提供基于数据的咨询服务及合理的业务落地方案/报告; 负责项目及报告的需求梳理、研究框架制定、洞察深度的把握、保障稳定高质量的报告输出和交付质量2. 沉淀分析思路与框架，提炼数据3. 与团队一起制定消费者数字营销计划及方案，跟踪营销效果并持续优化方案，按时完成团队交办的工作任务 职位要求1. 数学、统计学、计算机、信息技术等专业本科及以上学历2. 熟练的英文读写能力，良好的英文听说能力3. 熟练操作excel和PPT，对SQL、R/Python/Tableau等工具熟悉者优先4. 具备良好沟通能力和团队协作精神，执行能力强，具备积极解决各种难题的能力 办公地址：南通，能接受一个月3-5天出差
软件测试工程师,8-10k,南通-崇川区,3-5年,本科及以上,1.本科及以上学历，计算机专业毕业2.5年以上软件测试相关背景3.熟悉Linux，熟练使用常用的Linux 命令4.熟悉至少一种关系型数据库5.具有较强的沟通能力，思路清晰，善于思考，能独立分析和解决问题6.具备良好的团队工作精神和质量意识，能够承受较强的工作压力7.具有较强的管理协调能力，善于沟通和应变，逻辑能力强，接受新事物能力强8.有数据分析相关工作经验者优先9.英语听说能力佳优先10.有Scrum经验优先11.熟悉CDP、MA、Marketing Cloud产品者优先
软件开发工程师,8-10k,南通-崇川区,3-5年,大专及以上,1.大专及以上学历，专业不限2.有3年以上软件开发经验3.熟练掌握J2SE/J2EE、Ruby、Python、Go、PHP开发技术中的一种编程语言。并熟悉对应开发语言的体系结构和主流开发框架，且对其核心思想、实现原理有一定认知4.掌握RDMS基本概念，熟悉SQL，有编写复杂存储过程能力。熟练使用MYSQL、MSSQL、Oracle、PostgreSQL 、DB2中的一种5.熟悉Linux系统基本操作6.积极主动，乐于分享，学习能力、沟通能力、责任心强，有良好的团队精神7.善于思考，愿意倾听，工作不局限于分配给自己的工作，有较强的自驱力和成长意愿8.其他:有CDP、MA、Marketing Cloud开发经验优先熟悉React JS、VUE者优先熟悉tomcat、jboss等应用服务器和nginx、apache等Web服务器配置，并有相当的系统优化经验有集群，分布式，负载均衡等大型应用开发经验者优先需要Docker，K8S者优先熟悉HDFS、HBase、Kafka、Spark、Flume、MR等主流大数据技术者优先有运用NoSQL，如Redis、Mongodb、Cassandra、levelDB等经验者优先英语读写能力较好者优先
市场部经理,10-15k,苏州-工业园区,5-10年,统招本科,工作职责：一、	协助制定企业短中期市场战略规划；二、	组织市场调研分析，建设信息服务系统，为企业经营竞争决策提供市场依据；三、	了解国家政策动态，组织对行业和客户、产品及应用、竞业及上下游产业链、技术和市场进行调研分析，建设信息服务管理系统，为制定企业销售战略提供分析研究资讯；四、协助制定新产品新项目、产品线引进发展规划与可行性研究，协助新品上市策略开发，产品定位，渠道分析等；协助制定产品线发展规划、销售及行业应用发展规划；协助制定企业产品研发、生产方向，提供相关市场信息支持；五、负责企业品牌建设维护、企划宣传与市场推广，以及在线营销相关工作。任职条件：1.40岁以下，化学、市场营销相关专业本科以上学历2.5年以上化工行业销售或服务类相关工作经历，2年以上市场部相关经验3.熟悉精细化工行业运营模式，了解化工市场情况，熟悉本部门业务相关的国家地方政策法规；熟练使用企业办公软件、熟悉ERP、CRM、OA管理系统；持有C1驾照会开车4. 人格特质：人品端正、身体康健，认同公司企业文化价值观，视野开阔，逻辑思维严谨洞察力敏锐，对数字敏感，擅长人际沟通与谈判，具有创新开拓精神、能够承担较强的工作压力。5.基本知识技能：熟悉公司产品体系，了解化工市场及行业，了解化工行业生产、技术研发、贸易销售、仓储物流等运营流程以及综合管理知识，熟悉国家地方相关法律法规，熟练掌握办公自动化软件。6.能力要求：良好的组织规划能力与优秀的执行力，优秀的沟通协调能力、解决 实际问题的能力与应付突发状况的能力，分析判断力优秀。
战略市场总监,16-30k,苏州-工业园区,10年以上,统招本科,工作职责：一、	辅助集团总经理，负责公司（含总公司及各分子公司）集团化发展的战略与运营管理工作1.组织制定与实施战略规划与业务计划体系，统筹集团资源整合；2.负责战略业务开发与战略协同、集团战略经营运作等相关业务，为集团公司经营发展提供战略引导；二、	梳理公司集团发展经营战略，制定与贯彻企业短中期市场战略规划；三、	领导开展市场分析工作，建设信息服务系统，为企业经营竞争决策提供市场依据；了解国家政策动态，组织对行业和客户、产品及应用、竞业及上下游产业链、技术和市场进行调研分析，建设信息服务管理系统，为制定企业销售战略提供分析研究资讯。四、依据市场分析，协同制定公司各项发展规划，为公司发展决策提供专业支持；1．协同制定公司新产品新项目引进发展规划、与可行性研究，协助新品上市策略开发，产品定位，渠道分析等2．依据产业、产品、技术、市场综合分析，为企业产品研发、生产提供方向3．从市场端出发，为公司经营转型、发掘新业务、拓展新领域提供方向4．为制定公司产品线发展规划、销售及行业应用发展规划，提供市场信息支持五、建设公司电商平台、领导负责在线营销及产品销售工作；六、领导负责企业品牌建设、企划宣传与市场推广工作任职条件：1.40岁以下，化工相关专业统招本科以上学历2.8年以上化工行业销售、生产、技术管理等相关工作经验，3年以上等同本岗位实战管理经验，有大型（集团）企业相关资历者优先选择3.熟悉精细化工行业企业运营流程模式，通晓了解国内国际化工市场；熟悉本部门业务相关的国家地方政策法规；熟练使用企业办公软件、熟悉ERP、CRM、OA管理系统；持有C1驾照会开车4.人格特质：人品端正、身体康健，性格成熟稳定，认同公司企业文化价值观，具有战略前瞻思维与全局观，视野开阔，逻辑思维严谨洞察力敏锐，对数字敏感，擅长人际沟通与公关谈判，具有创新开拓精神、统御部属团队协作，能接受出差并能够承担较强的工作压力。5.基本知识技能：熟悉公司产品体系，深度了解市场及行业，通晓化工行业生产、技术研发、贸易、销售、仓储物流等全产业链运营流程以及综合管理知识，熟悉国家地方相关法律法规，熟练掌握办公自动化软件。6.能力要求：优秀的领导指挥与统筹规划能力，具备良好的组织能力与沟通协调能力、解决实际问题的能力与应付突发状况的能力，优秀的分析判断与决策力。
采购总监,20-30k·15薪,苏州-工业园区,5-10年,本科及以上,岗位职责：1、负责采购经营策略的制定和组织实施，并承担采购经营管理和业绩指标；2、负责判断选品/品类的市场流行趋势，开发引进新的供应商，打造符合电商/门店的爆品与精品，确保品类竞争处于优势地位； 3、负责目标消费群体调研，基于消费者洞察制定相关的商品品类规划和商品运营策略；4、负责供应商资源管理：收集和分析供应商信息，落实供应商过程控制管理工作并制定有效的采购策略，建立稳定的供货渠道；5、负责采购流程的搭建与优化，监督其有效运作，组织制定和完善采购管理、库存管理、出入库管理各项管理制度，降低采购成本与采购周期。任职资格：1、本科以上学历，有6年以上快消食品采购经验，至少3年以上采购管理工作经验；2、对采购业务流程及体系有清晰的认识，对零售、健康食品行业有很强的预判能力；3、擅长供应商寻找和开发经验，可独立并且高效的管理供应商；4、具有较强的分析判断、前瞻思维、承压能力和团队管理能力。
总经理助理,5-8k,镇江,3-5年,本科及以上,岗位职责：1、协助总经理完成日常工作，协调总经理与各部门之间的沟通，为总经理提供必要的信息服务；2、组织筹备公司总经理会议及其他公司会议，安排会议议程，准备会议文件，并做好会议录，主动沟通有关决议的执行情况；3、负责总经理的对外联络、来电、来访记录；对公司内部发布重要信息、通知、通告工作；4、忠实执行，积极完成总经理委派的各项任务，负责整理总经理的各类资料、文件并分类保管及归档； 5、公司档案、印章的管理6、完成领导交办的其他工作。 任职要求：1、22-35岁，持C1驾照，良好的额驾驶习惯，无不良违章记录；2、全日制本科及以上学历，文秘相关专业、英语六级以上，英语读写能力好；3、两年以上总经理秘书等相关工作经验；4、熟练操作各类办公软件，有较强的文字功底5、良好的团队协作精神，具严密的逻辑思维能力和全面的分析判断能力，较强的统筹协调能力，书面及口头表达能力优秀。
