嵌入式软件工程师,15-30k·15薪,苏州-工业园区,经验不限,本科及以上,职责描述：1.负责变频器相关功能开发。2.负责485通信协议开发，负责Modbus协议开发。3.负责变频器异步电机相关功能测试及开发。4.负责变频相关产品开发，测试，维护及客户交流。任职要求：1.大学本科及以上学历。2.一年以上工作相关行业工作经验。3.自动化，电力电子，电气工程等相关专业。4.熟悉嵌入式系统开发，精通C语言。5.熟悉变频器相关产品，熟悉矢量控制原理，电机模型者优先考虑。
软件工程师,20-36k·13薪,苏州-昆山,3-5年,统招本科,职责描述：岗位职责：1.负责图像采集产品的软件设计工作。 2.负责对高速采集的图像进行处理。3.参与软件需求分析，定义客户软件接口；4.参与或组织软件架构设计和模块设计；5.参与项目的软件开发过程，按照开发流程和规范负责详细设计、编码、软件缺陷修复，参与客户软件集成以及后续技术支持。任职要求： 1.三年以上上位机软件开发经验，有网络编程经验，有设备驱动和软件界面开发经验； 2. 掌握常见软件编程以及面向对象设计方法和工具，了解串口通讯、千兆网通讯和软件实现方法；3. 能够撰写软件需求、设计说明文档; 熟悉软件工程过程，能对自己负责的模块做单元测试; 4.有图像处理及工业、医疗领域算法经验者优先。
软件工程师,10-30k,南京,5-10年,统招本科,职责描述：1. 负责按软件任务书要求完成雷达后端应用相关软件界面的需求分析设计及实现；2. 参与负责后端应用相关软件界面的编码、测试及联调；3. 参与负责雷达系统联调、外场试验；4. 负责相关软件文档拟制；5. 负责软件交付后的售后维护。任职要求：应用数学、软件工程、计算机科学、人工智能、模式识别等相关专业；熟练使用MATLAB、C/C++、Qt、GPU等；熟悉图形界面开发工具；
助理软件开发工程师（CRM）,8-10k·13薪,南京-鼓楼区,一年以下,本科及以上,职位描述：开发CRM软件的功能模块写新功能模块的单元测试代码调整数据库结构研究第三方工具组件以支持新功能给客户服务团队提供技术支持和开发团队其他成员分享技术成果通过电子邮件使用英语和美国总部同事进行交流职位要求：理解.Net面向对象编程理解SQL数据库建模和查询了解基于微软产品的Web开发，包括TypeScript熟悉敏捷开发流程有商业应用开发经验（特别是CRM应用）者优先本科或以上学历（计算机软件或应用数学专业）英语写作/快速定位并解决问题的能力
嵌入式软件开发工程师,11-18k·16薪,南京-雨花台区,1-3年,本科及以上,岗位职责1. 负责嵌入式软件需求、功能设计书等文档编写。2. 负责ARM等嵌入式软件代码编写。3. 负责产品联调、版本验证。任职要求1. 本科及以上学历， 计算机、电子、自动化及相关专业。2. 具备一定的嵌入式软件知识。3. 熟练掌握C语言。福利待遇：五险一金+年终奖金+绩效奖金+交通补助+餐饮补助+定期体检+节日礼品+定期体检
销售工程师,15-30k,苏州-工业园区,经验不限,本科及以上,职责描述：负责D-Hub及Dhub数字制造产品的销售工作。任职要求：1、本科及以上学历，工科专业，电气自动化优先：2、熟练操作Autocad软件，熟悉SolidWORKS等三维软件者优先；3、具有较强的抗压能力；4、具有较强的沟通能力，表达清晰，逻辑性强；5、能适应高频率出差；6、有电气行业工作经验者优先。薪资福利：1、购买五险一金，节日礼金、团建、带薪年假，只有想不到，没有我们做不到！2、朝九晚五、周末双休、无责任底薪6k-9k+提成奖金，年收入10-30万轻轻松松！3、公司有固定的客户资源，助你更快成单！
上位机软件工程师,10-22k,南京-江宁区,3-5年,本科及以上,职责描述：1、从事电力自动化终端维护、投运、检测等上位机软件的研发和维护工作；                    2、参与项目的需求分析，调研技术细节，进行系统框架和核心模块设计；                       3、根据项目需求，编写响应的开发文档、编码及测试工作。 任职要求：1、3年以上开发经验，良好的面向对象编程思想，精通C++语言，了解STL、C++11，熟悉设计模式，多线程编程。2、能深入理解QT框架以及QT底层实现的机制；3、熟悉101、104、modbus等基本规约。     4、有测试台开发经验者优先。                                  5、熟悉windows和linux跨平台开发者优先       6、熟悉常用数据库，有算法经验者优先。        7、思路清晰，具备独立解决问题的能力，良好的学习能力，沟通表达能力和团队协作能力。          
嵌入式软件工程师（工作地点：JQNE-南京-研究院）,25-30k·14薪,南京,1-3年,统招本科,"一、岗位职责1.解读客户SOR及相关标准，评估软件方案可行性及风险项； 2.配合硬件完成整体方案，提供软件架构方案；与客户进行技术交流，协助公司赢取项目； 3.完成软件需求分析，进行软件概要设计，详细设计及代码开发； 4.负责公司软件测试方案、软件测试用例的编写，软件测试工具的开发； 5.设计阶段的软件相关文档制作及评审； 6.负责软件白盒测试，冒烟测试，压力测试，回归测试，以及测试过程中软件相关问题的解决； 7..负责软件版本维护，升级管理以及变更管理； 8.建立软件开发流程，通过CMMI,ASPICE等相关认证； 二、岗位要求 1.学历要求：本科及以上文化程度，5年以上电子设计工作经验； 2.专业要求：计算机及电子相关专。有嵌入式软件开发经验，熟悉ARM软件架构，熟悉AUTOSAR架构，有充电桩墙盒软件开发经验更优； 3.对电路有一定基础，能看懂电路图；能够针对具体需求，输出对应软件需求并进行软件架构方案设计； 4.语言能力：中文语言表达能力强，英文口语CET4以上或流利使用其他一种外语（德语、日语）； 5.能力素质：具备良好的专业素质及较强内外协调能力； 6.熟悉Linux/Unix操作系统，能进行应用层开发.熟悉BT,WIFI，NFC，RS232，CAN,LIN等的通信协议及SPI,IIC接口驱动协议，并能进行开发; "
软件影像工程师,10-20k·13薪,无锡-新吴区,3-5年,本科及以上,岗位职责：1.项目软件接口：配合项目XPM 梳理所有软件影像相关事宜；2.软件开发：与影像工程师共同确认客户的设计方案（或其他部门提出的新功能），评估可行性和具体的实施计划；协调影像开发组所需的所有资源；监督开发工作的完成情况；3.客户需求分析和维护：快速准确分析理解客户的软件影像类需求和新功能，及时反馈并给出预计开发周期，跟踪各类功能的开发进度反馈给XPM并对内监督开发进展；4.工作和资源协调，软件进度管控：影像类开发需求、解决bug；协助项目其他软件同事分析定位问题、和客户及PM 沟通、协调其他软件同事或外部部门获取需要的资源；针对项目计划合理安排计划和人力，确保软件进度；5.影像功能完善：收集客户和PM 等使用软件的反馈意见，修正缺陷或故障，完善和扩展软件的性能；6.负责产品软件需求的技术管理，包括需求应答、澄清、分解，进度、质量跟踪； 7.负责模块级技术方案评审、梳理、总结，产品级技术方案编写； 8.负责对软件开发和项目管理过程的重大问题的经验积累跟踪； 9.负责软件达标文档管理，填写运营商、认证相关达标文件； 10.负责制定并推进软件模块化、标准化规范。任职要求：1.全面系统的手机技术知识，具备跨模块、跨技术点的组织协调能力； 2.有初步以上的管理项目经验；3.熟悉常见手机功能需求，掌握相关技术方案； 4.熟悉手机项目软件开发流程、项目管理流程； 5.思路清晰善于发现问题、总结问题、编写技术方案； 6.对手机技术实现有浓厚的钻研兴趣。
测试工程师（软件）,8-10k,徐州,3-5年,统招本科,职位职责：一、测试计划和用例编制1. 制定软件和硬件的单元测试计划及测试用例2. 制定软件和硬件的集成测试计划及测试用例3. 制定软件和硬件的系统测试计划及测试用例4. 制定软件和硬件的回归测试计划及测试用例二、执行测试1. 执行单元测试并完成测试报告2. 执行集成测试并完成测试报告3. 执行系统测试并完成测试报告4. 执行回归测试并完成测试报告三、协助分析测试中的问题1 对测试失效结果进行分类，协助开发人员解决问题2.参与项目经验教训的总结四、其他任务1根据公司的部署完成公司交给的其他任务2.辅导L1的测试工程师提升技能任职资格一、	学历及所学专业大学本科或以上学历，计算机、硬件、软件等专业，英语读写熟练二、资格认证1从事软件、电子产品相关工作4年以上2具有模块化测试能力3掌握基本的测试软件知识4掌握使用软件设计、调试、测试工具三、知识1.熟悉软件工程和公司产品；2熟悉软件测试标准相关知识；3.熟悉电子电路技术3.熟悉移动机械系统应用的相关知识4. 熟练使用C语言和CoDeSys软件开发5. 熟练使用使用软件静态、动态代码测试工具6.熟练使用环境测试和EMC测试的测试工具四、经验1 软件、硬件相关设计与调试经验2.产品测试或软件开发3年以上的经验五、能力1具有独立设计和问题分析能力2具有快速的学习能力以及分析测试报告的能力3具有严谨的逻辑思维能力和系统分析能力4具有创新意识和能力
